手術名称	レセ電CD
鼻骨骨折徒手整復術　　　　　　　　　　　	150097950
鼻甲介切除術（その他）　　　　　　　　　	150098810
粘膜下下鼻甲介骨切除術　　　　　　　　　	150099010
鼻茸摘出術（左）　　　　　　　　　　　　	150099110
上顎洞性後鼻孔ポリープ切除術　　　　　　	150099210
鼻副鼻腔腫瘍摘出術　　　　　　　　　　　	150099310
鼻副鼻腔悪性腫瘍手術（切除）　　　　　　	150099410
鼻副鼻腔悪性腫瘍手術（全摘）　　　　　　	150099510
経鼻腔的翼突管神経切除術　　　　　　　　	150099710
鼻中隔矯正術　　　　　　　　　　　　　　	150100110
内視鏡下鼻中隔手術Ⅰ型（骨、軟骨手術）　	150385210
内視鏡下鼻腔手術Ⅰ型（下鼻甲介手術）　　	150385410
内視鏡下鼻腔手術Ⅱ型（鼻腔内手術）　　　	150385510
内視鏡下鼻・副鼻腔手術Ⅱ型（副鼻腔単洞手	150373310
内視鏡下鼻・副鼻腔手術Ⅲ型（選択的（複数	150373510
内視鏡下鼻・副鼻腔手術Ⅳ型（汎副鼻腔手術	150373610
内視鏡下鼻・副鼻腔手術Ⅴ型（拡大副鼻腔手	150373710
前頭洞充填術　　　　　　　　　　　　　　	150100510
上顎洞根治手術　　　　　　　　　　　　　	150100710
上顎洞篩骨洞根治手術　　　　　　　　　　	150101610
副鼻腔手術用内視鏡加算　　　　　　　　　	150279470
副鼻腔手術用骨軟部組織切除機器加算　　　	150366810
咽頭異物摘出術（複雑）　　　　　　　　　	150103110
アデノイド切除術　　　　　　　　　　　　	150103310
中咽頭腫瘍摘出術（経口腔によるもの）　　	150103810
下咽頭腫瘍摘出術（経口腔によるもの）　　	150104010
咽頭悪性腫瘍手術　　　　　　　　　　　　	150104210
口蓋扁桃手術（摘出）　　　　　　　　　　	150104910
口蓋扁桃切除術（翌日以降）後出血止血術　	150248450
副咽頭間隙腫瘍摘出術（経頸部）　　　　　	150344710
過長茎状突起切除術　　　　　　　　　　　	150105310
深頸部膿瘍切開術　　　　　　　　　　　　	150336010
気管切開術　　　　　　　　　　　　　　　	150106210
喉頭粘膜焼灼術（直達鏡によるもの）　　　	150106310
喉頭粘膜下異物挿入術　　　　　　　　　　	150106410
声帯ポリープ切除術（直達喉頭鏡によるもの	150106850
喉頭ポリープ切除術（直達喉頭鏡によるもの	150316010
喉頭腫瘍摘出術（直達鏡によるもの）　　　	150107610
喉頭悪性腫瘍手術（切除）　　　　　　　　	150107810
喉頭悪性腫瘍手術（全摘）　　　　　　　　	150107910
喉頭、下咽頭悪性腫瘍手術（頚部、胸部、腹	150108110
気管切開孔閉鎖術　　　　　　　　　　　　	150108410
喉頭狭窄症手術（Ｔチューブ挿入術）　　　	150108910
喉頭形成手術（筋弁転位術、軟骨転位術、軟	150109310
気管口狭窄拡大術　　　　　　　　　　　　	150109610
嚥下機能手術（喉頭気管分離術）　　　　　	150345310
抜歯手術（乳歯）　　　　　　　　　　　　	150110010
抜歯手術（１歯につき）前歯　　　　　　　	150110110
抜歯手術（１歯につき）臼歯　　　　　　　	150110210
抜歯術（埋伏歯）　　　　　　　　　　　　	150110410
難抜歯加算　　　　　　　　　　　　　　　	150385770
下顎の完全埋伏智歯（骨性）及び水平埋伏智	150110410
顎・口蓋裂形成手術（顎裂を伴う）（片側）	150110910
軟口蓋形成手術（いびきに対する）　　　　	150110910
口腔底膿瘍切開術　　　　　　　　　　　　	150111010
口腔底悪性腫瘍手術　　　　　　　　　　　	150111210
頬粘膜腫瘍摘出術　　　　　　　　　　　　	150111410
頬粘膜悪性腫瘍手術　　　　　　　　　　　	150111510
甲状舌管嚢胞摘出術　　　　　　　　　　　	150112050
舌悪性腫瘍手術（切除）　　　　　　　　　	150112110
舌悪性腫瘍手術（亜全摘）　　　　　　　　	150112210
歯）頬腫瘍摘出術（その他）　　　　　　　	150113310
口腔、顎、顔面悪性腫瘍切除術　　　　　　	150113610
口唇裂形成手術（片側）（口唇裂鼻形成を伴	150114110
頬骨骨折観血的整復術　　　　　　　　　　	150114510
下顎骨形成術（短縮）　　　　　　　　　　	150268510
下顎骨形成術（伸長）　　　　　　　　　　	150268610
顎関節形成術　　　　　　　　　　　　　　	150116910
画像等手術支援加算（ナビゲーション）　　	150339010
画像等手術支援加算（実物大臓器立体モデル	150339110
唾石摘出術（一連につき）深在性　　　　　	150117310
がま腫摘出術　　　　　　　　　　　　　　	150117410
舌下腺腫瘍摘出術　　　　　　　　　　　　	150117510
顎下腺摘出術　　　　　　　　　　　　　　	150117710
耳下腺腫瘍摘出術（耳下腺浅葉摘出術）　　	150118110
耳下腺腫瘍摘出術（耳下腺深葉摘出術）　　	150118210
耳下腺悪性腫瘍手術（切除）　　　　　　　	150118310
唾液腺管形成手術　　　　　　　　　　　　	150118610
甲状腺部分切除術、甲状腺腫摘出術（片葉）	150118910
甲状腺部分切除術、甲状腺腫摘出術（両葉）	150119010
甲状腺悪性腫瘍手術（切除）　　　　　　　	150119410
甲状腺悪性腫瘍手術（全摘及び亜全摘）　　	150119510
副甲状腺（上皮小体）腺腫過形成手術（副甲	150119710
頸嚢摘出術　　　　　　　　　　　　　　　	150120210
頸部郭清術（片側）　　　　　　　　　　　	150120410
頸部郭清術（両側）　　　　　　　　　　　	150262610
乳腺腫瘍摘出術（長径５未満）（左）　　	150121110
乳管腺葉区域切除術　　　　　　　　　　　	150274610
乳腺悪性腫瘍手術（単純乳房切除術（乳腺全	150121610
乳腺悪性腫瘍手術　乳房部分切除術（腋窩部	150262710
乳腺悪性腫瘍手術　乳房部分切除術（腋窩部	150303110
乳腺悪性腫瘍手術（乳房切除術（腋窩鎖骨下	150121710
乳腺悪性腫瘍手術（乳房切除術（腋窩鎖骨下	150121810
止血用加熱凝固切開装置加算　　　　　　　	150293270
乳腺悪性腫瘍手術　乳房切除術（腋窩部郭清	150316510
乳腺悪性腫瘍手術（乳頭乳輪温存乳房切除術	150386410
陥没乳頭形成術　　　　　　　　　　　　　	150292210
乳房再建術（乳房切除後）一次的に行うもの	150316610
乳房再建術（乳房切除後）二次的に行うもの	150316710
乳がんセンチネルリンパ節加算１　　　　　	150345870
乳がんセンチネルリンパ節加算２　　　　　	150345970
再建乳房乳頭形成術　　　　　　　　　　　	150292310
ゲル充填人工乳房を用いた乳房再建術（乳房	150374010
醸膿胸膜、胸膜胼胝切除術（１肺葉に相当す	150126610
膿胸腔有茎筋肉弁充填術　　　　　　　　　	150127210
縱隔悪性腫瘍手術（単純摘出）　　　　　　	150128610
気管・気管支ステント留置術（硬性鏡による	150281250
気管・気管支ステント留置術（軟性鏡による	150357510
気管支瘻孔閉鎖術　　　　　　　　　　　　	150374410
肺縫縮術　　　　　　　　　　　　　　　　	150131610
食道狭窄拡張術（内視鏡によるもの）　　　	150132710
食道ステント留置術　　　　　　　　　　　	150281350
食道狭窄拡張術（拡張用バルーン）　　　　	150346210
食道空置バイパス作成術　　　　　　　　　	150346310
食道憩室切除術（頸部手術によるもの）　　	150133610
内視鏡的食道粘膜切除術（早期悪性腫瘍粘膜	150274810
自動吻合器加算　　　　　　　　　　　　　	150339310
食道・胃静脈瘤硬化療法（内視鏡によるもの	150136510
内視鏡的食道・胃静脈瘤結紮術　　　　　　	150270150
胸腹裂孔ヘルニア手術（経腹）　　　　　　	150137310
食道裂孔ヘルニア手術（経腹）　　　　　　	150138010
ペースメーカー交換術　　　　　　　　　　	150140410
植込型心電図記録計摘出術　　　　　　　　	150347010
植込型除細動器交換術　　　　　　　　　　	150275310
両室ペーシング機能付き植込型除細動器交換	150337010
心房内血栓除去術　　　　　　　　　　　　	150140710
心臓弁再置換術加算（弁輪拡大術を伴う大動	150375570
不整脈手術（メイズ手術）　　　　　　　　	150275610
三次元カラーマッピング加算　　　　　　　	150346870
人工心肺（１日につき）初日　　　　　　　	150147610
人工心肺（選択的冠灌流併施加算）　　　　	150147870
逆行性冠灌流併施加算（人工心肺）　　　　	150347170
人工心肺（１日につき）選択的脳灌流の併施	150275870
大動脈バルーンパンピング法（ＩＡＢＰ法）	150148010
大動脈バルーンパンピング法（ＩＡＢＰ法）	150148110
経皮的心肺補助法（１日につき）初日　　　	150262910
経皮的心肺補助法（１日につき）２日目以降	150275710
血管露出術　　　　　　　　　　　　　　　	150148210
血管結紮術（その他）　　　　　　　　　　	150148610
動脈塞栓除去術（その他）観血的なもの　　	150149110
動脈血栓内膜摘出術（その他）　　　　　　	150149510
動脈血栓内膜摘出術（内頚動脈）　　　　　	150322710
大動脈瘤切除術（弓部大動脈）　　　　　　	150150010
抗悪性腫瘍剤動脈内持続注入用植込型カテー	130008070
抗悪性腫瘍剤静脈内持続注入用植込型カテー	130010150
大動脈瘤切除術（下行大動脈）　　　　　　	150150110
大動脈瘤切除術（腹部大動脈）その他のもの	150245210
動脈形成術、吻合術（その他の動脈）　　　	150150610
内シャント設置術　　　　　　　　　　　　	150151150
腎血管性高血圧症手術（経皮的腎血管拡張術	150152010
血管移植術、バイパス移植術（膝窩動脈）　	150387810
血管移植術、バイパス移植術（その他の動脈	150152710
四肢の血管拡張術・血栓除去術　　　　　　	150153810
経皮的冠動脈形成術（急性心筋梗塞）　　　	150374910
経皮的冠動脈形成術（不安定狭心症）　　　	150375010
下肢静脈瘤手術（硬化療法（一連として）左	150263410
下肢静脈瘤血管内焼灼術　　　　　　　　　	150360910
中心静脈注射用植込型カテーテル設置（四肢	130009070
中心静脈注射用植込型カテーテル設置（頭頸	130009170
静脈血栓摘出術　その他のもの（観血的なも	150154310
下大静脈フィルター留置術　　　　　　　　	150263510
下大静脈フィルター除去術　　　　　　　　	150361010
静脈形成術・吻合術（その他の静脈）　　　	150154910
リンパ節摘出術（長径３未満）　　　　　	150155610
リンパ節摘出術（長径３以上）　　　　　	150155710
リンパ節群郭清術（頸部深在性）　　　　　	150156410
リンパ節群郭清術（鼠径部及び股部）　　　	150156810
リンパ管吻合術　　　　　　　　　　　　　	150157510
ヘルニア手術（臍ヘルニア）　　　　　　　	150158810
ヘルニア手術（鼠径ヘルニア）　　　　　　	150159010
胸水・腹水濾過濃縮再静注法　　　　　　　	150159710
試験開腹術　　　　　　　　　　　　　　　	150160010
経皮的腹腔膿瘍ドレナージ術　　　　　　　	150347510
内視鏡的胃、十二指腸ポリープ・粘膜切除術	150164410
胃、十二指腸憩室切除術・ポリープ切除術（	150164210
内視鏡的食道及び胃内異物摘出術　　　　　	150165050
内視鏡的消化管止血術　　　　　　　　　　	150164850
胃腸吻合術（ブラウン手術を含む）　　　　	150171310
胃瘻造設術（経皮的内視鏡下胃瘻造設術を含	150171610
心拍動下冠動脈、大動脈バイパス移植用機器	150328110
術中グラフト血流測定加算　　　　　　　　	150390810
超音波内視鏡下瘻孔形成術（腹腔内膿瘍　　	150362410
バルーン内視鏡加算　　　　　　　　　　　	150388670
経皮的肝膿瘍ドレナージ術　　　　　　　　	150337410
腸重績症整復術（非観血的）　　　　　　　	150181010
小腸腫瘍、小腸憩室摘出術（メッケル憩室炎	150181310
自動縫合器加算　　　　　　　　　　　　　	150339210
内視鏡的大腸ポリープ・粘膜切除術（長径２	150183410
小腸結腸内視鏡的止血術　　　　　　　　　	150263950
内視鏡的大腸ポリープ・粘膜切除術（長径２	150285010
結腸瘻閉鎖術（腸管切除を伴わない）　　　	150185410
小腸・結腸狭窄部拡張術（内視鏡によるもの	150293310
直腸腫瘍摘出術（経肛門）　　　　　　　　	150186810
直腸切除・切断術（切除術）　　　　　　　	150187110
直腸切除・切断術（切断術）　　　　　　　	150187210
直腸切除・切断術（低位前方切除術）　　　	150245410
肛門周囲膿瘍切開術　　　　　　　　　　　	150189810
腟壁尖圭コンジローム切除術　　　　　　　	150190650
肛門ポリープ切除術　　　　　　　　　　　	150190310
鎖肛手術（会陰式）　　　　　　　　　　　	150191410
鎖肛手術（仙骨会陰式）　　　　　　　　　	150191510
経皮的腎嚢胞穿刺術（左）　　　　　　　　	150264110
腎腫瘍凝固・焼灼術（冷凍凝固）　　　　　	150364910
経皮的腎（腎盂）瘻造設術（右）　　　　　	150195610
経皮的腎（腎盂）瘻造設術（左）　　　　　	150195610
経尿道的尿路結石除去術（その他）　　　　	150196610
経尿道的尿路結石除去術（レーザーによるも	150365010
経尿道的尿管狭窄拡張術　　　　　　　　　	150197010
尿管膀胱吻合術　　　　　　　　　　　　　	150197210
尿管皮膚瘻造設術　　　　　　　　　　　　	150197810
経尿道的尿管ステント留置術　　　　　　　	150303910
経尿道的尿管ステント抜去術　　　　　　　	150304010
膀胱異物摘出術（経尿道的手術）　　　　　	150198910
膀胱結石摘出術（経尿道的手術）　　　　　	150198710
経尿道的電気凝固術　　　　　　　　　　　	150199450
膀胱水圧拡張術　　　　　　　　　　　　　	150348810
膀胱悪性腫瘍手術（経尿道的手術）その他　	150246210
膀胱悪性腫瘍手術（経尿道的手術）電解質溶	150365110
膀胱尿管逆流手術　　　　　　　　　　　　	150201950
外尿道腫瘍切除術　　　　　　　　　　　　	150203010
尿道狭窄内視鏡手術　　　　　　　　　　　	150205710
尿道狭窄拡張術（尿道バルーンカテーテル）	150242450
尿失禁手術（恥骨固定式膀胱頚部吊上術を行	150206010
陰茎悪性腫瘍手術（陰茎全摘）　　　　　　	150206810
包茎手術（背面切開術）　　　　　　　　　	150207110
包茎手術（環状切除術）　　　　　　　　　	150207210
精巣上体摘出術　　　　　　　　　　　　　	150207910
精巣悪性腫瘍手術　　　　　　　　　　　　	150264410
陰嚢水腫手術（その他）　　　　　　　　　	150208510
停留精巣固定術　　　　　　　　　　　　　	150208610
経尿道的前立腺手術　　　　　　　　　　　	150379710
経尿道的前立腺手術（電解質溶液利用）　　	150379610
バルトリン腺膿瘍切開術　　　　　　　　　	150209510
癒合陰唇形成手術（筋層に及ばないもの）　	150211650
外陰・膣血腫除去術　　　　　　　　　　　	150326610
腟壁裂創縫合術（前壁裂創）（分娩時を除く	150211810
腟閉鎖術（中央腟閉鎖術（子宮全脱））　　	150326810
腟壁腫瘍摘出術　　　　　　　　　　　　　	150213010
腟壁悪性腫瘍手術　　　　　　　　　　　　	150213210
腟壁形成手術　　　　　　　　　　　　　　	150214510
子宮内膜掻爬術　　　　　　　　　　　　　	150214610
子宮脱手術（マンチェスター手術）　　　　	150215310
子宮脱手術（腟壁形成手術及び子宮全摘術）	150215410
子宮頸管閉鎖症手術（観血的）　　　　　　	150218950
子宮頸部摘出術（腟部切断術を含む）　　　	150281950
子宮頸部（腟部）切除術　　　　　　　　　	150216510
子宮頸部上皮内癌に対するレーザー照射療法	150216650
子宮頸部異形成上皮に対するレーザー照射療	150327010
子宮鏡下有茎粘膜下筋腫切出術　　　　　　	150294210
子宮内膜ポリープ切除術　　　　　　　　　	150294310
子宮鏡下子宮筋腫摘出術　　　　　　　　　	150278610
吸引娩出術　　　　　　　　　　　　　　　	150221210
会陰（腟壁）裂創縫合術（分娩時）（直腸裂	150221910
頸管裂創縫合術（分娩時）　　　　　　　　	150222010
帝王切開術（緊急）　　　　　　　　　　　	150222110
帝王切開術（選択）　　　　　　　　　　　	150222210
複雑加算（帝王切開術）　　　　　　　　　	150390570
胎盤用手剥離術　　　　　　　　　　　　　	150222710
子宮頸管縫縮術（マクドナルド法）　　　　	150223410
子宮頸管縫縮術（シロッカー法）　　　　　	150223510
子宮頸管縫縮術（縫縮解除術）（チューブ抜	150223710
流産手術（妊娠１１週までの場合）　　　　	150224110
流産手術（妊娠１１週を超え妊娠２１週まで	150224210
胞状奇胎除去術　　　　　　　　　　　　　	150224410
新生児仮死蘇生術（仮死第１度）　　　　　	150224610
新生児仮死蘇生術（仮死第２度）　　　　　	150224710
超音波凝固切開装置等加算　　　　　　　　	150286990
微小血管自動縫合器加算　　　　　　　　　	150339410
術中血管等描出撮影加算　　　　　　　　　	150367110
人工肛門・人工膀胱造設術前処置加算　　　	150367210
術中術後自己血回収術　　　　　　　　　　	150226210
局所麻酔（０点算定）　　　　　　　　　　	
迷もう麻酔　　　　　　　　　　　　　　　	
静脈麻酔（長時間）　　　　　　　　　　　	
静脈麻酔（短時間）　　　　　　　　　　　	
硬膜外麻酔（頸・胸部）　　　　　　　　　	
硬膜外麻酔（腰部）　　　　　　　　　　　	
硬膜外麻酔後における局所麻酔剤の持続的注	
脊椎麻酔　　　　　　　　　　　　　　　　	150232910
精密持続注入加算（硬膜外麻酔後）　　　　	
胸部硬膜外ブロック　　　　　　　　　　　	
腰傍脊椎神経ブロック　　　　　　　　　　	
腸骨鼠径神経ブロック　　　　　　　　　　	
球後麻酔　　　　　　　　　　　　　　　　	
閉鎖循環式全身麻酔５　　　　　　　　　　	150233410
閉鎖循環式全身麻酔５（麻酔困難な患者）　	150328210
低体温療法　　　　　　　　　　　　　　　	
閉鎖循環式全身麻酔（腹腔鏡下手術）　　　	150233410
閉鎖循環式全身麻酔（心臓手術）　　　　　	150233410
閉鎖循環式全身麻酔（伏臥位）　　　　　　	150233410
閉鎖循環式全身麻酔（低血圧手術）　　　　	150233410
閉鎖循環式全身麻酔（人工心肺）　　　　　	150233410
閉鎖循環式全身麻酔（低体温手術）　　　　	150233410
閉鎖循環式全身麻酔（分離肺換気）　　　　	150233410
閉鎖循環式全身麻酔（人工心肺を用い低体温	150233410
閉鎖循環式全身麻酔（側臥位手術）　　　　	150233410
閉鎖循環式全身麻酔（麻酔困難）側臥位手術	150233410
閉麻（麻酔困難）分離肺換気　　　　　　　	150233410
閉麻（麻酔困難）心臓手術（人工心肺不使用	150233410
閉鎖循環式全身麻酔（麻酔困難）伏臥位　　	150233410
閉麻（麻酔困難）低血圧麻酔　　　　　　　	150233410
閉麻（麻酔困難）心臓手術（人工心肺使用）	150233410
閉麻（麻酔困難）人工心肺用いて低体温で行	150233410
閉麻（麻酔困難）腹腔鏡下手術　　　　　　	150328210
神経根ブロック　　　　　　　　　　　　　	
硬膜外ブロックにおける麻酔剤の持続的注入	
硬膜外ブロックにおける麻酔剤の持続的注入	
上肢伝達麻酔　　　　　　　　　　　　　　	
下肢伝達麻酔　　　　　　　　　　　　　　	
神経幹内注射　　　　　　　　　　　　　　	
カテラン硬膜外注射　　　　　　　　　　　	
トリガーポイント注射　　　　　　　　　　	
麻酔管理料（Ⅰ）（閉鎖循環式全身麻酔）　	
閉鎖循環式全身麻酔（バイパス（心肺不使用	
閉麻（麻酔困難）バイパス（人工心肺不使用	
麻酔管理料（Ⅰ）（硬膜外麻酔）　　　　　	
麻酔管理料（Ⅰ）（脊椎麻酔）　　　　　　	
閉鎖循環式全身麻酔（硬膜外麻酔の同時併施	150233410
閉鎖循環式全身麻酔（硬膜外麻酔の同時併施	150233410
閉鎖循環式全身麻酔（硬膜外麻酔の同時併施	150233410
帝王切開術麻酔加算　　　　　　　　　　　	
術中経食道心エコー連続監視加算　　　　　	
長時間麻酔管理加算　　　　　　　　　　　	
麻酔管理料（Ⅱ）（硬膜外麻酔）　　　　　	
麻酔管理料（Ⅱ）（脊椎麻酔）　　　　　　	
麻酔管理料（Ⅱ）（閉鎖循環式全身麻酔）　	
静脈麻酔（十分な体制下で長時間）複雑　　	
神経ブロック併施加算　　　　　　　　　　	
歯）周術期口腔機能管理後手術加算　　　　	
歯）術後性上顎嚢胞摘出術（上顎に限局する	
上顎洞口腔瘻閉鎖術（困難）　　　　　　　	
上顎洞口腔瘻閉鎖術（著しく困難）　　　　	
腐骨除去手術　顎骨（片側の１／３未満）　	
腐骨除去手術　顎骨（片側の１／３以上）　	
口腔内消炎手術（顎炎又は顎骨骨髄炎３分の	
口腔内消炎手術　顎骨骨髄炎（全顎）　　　	
舌小帯形成手術　　　　　　　　　　　　　	
下顎隆起形成術　　　　　　　　　　　　　	
口腔外消炎手術（５以上）　　　　　　　	
歯）口腔外消炎手術（顎炎又は顎骨骨髄炎）	
歯）創傷処理　筋肉臓器に達するもの　長径	
下顎骨形成術（両側加算）　　　　　　　　	150279770
顎骨腫瘍摘出術（歯根嚢胞を除く）３未満	150115410
顎骨腫瘍摘出術（歯根嚢胞を除く）３以上	150115510
歯）口蓋腫瘍摘出術（口蓋骨に及ぶ）　　　	150110610
歯）歯根嚢胞摘出手術（鶏卵大）　　　　　	
歯根嚢胞摘出術（歯冠大）　　　　　　　　	
歯根嚢胞摘出術（拇指頭大）　　　　　　　	
顎骨内異物（挿入物含む）除去術（困難）顎	
顎骨インプラント摘出術（２分の１顎以上）	
歯根端切除手術（１歯につき）２以外　　　	
歯根端切除手術（１歯につき）歯科用３次元	
歯の移植術　　　　　　　　　　　　　　　	
歯）骨移植術（軟骨移植術を含む）自家骨移	150295010
歯）広範囲顎骨支持型装置埋入（２回法１次	
歯）広範囲顎骨支持型装置埋入（２回法２次	
歯）遊離皮弁術（顕微鏡下血管柄付）　　　	
創傷処理　真皮縫合加算　　　　　　　　　	
創傷処理（デブリードマン加算）　　　　　	
深部デブリードマン加算　　　　　　　　　	
デブリードマン（１００未満）　　　　　	
皮膚，皮下，粘膜下血管腫摘出術（露出部）	
筋炎手術（大腿筋）　　　　　　　　　　　	
筋炎手術（その他の筋）　　　　　　　　　	
骨折観血的手術（膝蓋骨）　　　　　　　　	150019610
化膿性関節炎掻爬術（肘）　　　　　　　　	
関節脱臼非観血的整復術（膝）　　　　　　	
関節内骨折観血的手術（足）　　　　　　　	
関節内骨折観血的手術（手）　　　　　　　	150043110
関節鏡下靱帯断裂形成手術（膝側副靱帯）　	
関節形成手術（肘）　　　　　　　　　　　	150048610
関節形成手術（足）　　　　　　　　　　　	150048810
人工骨頭挿入術（肩）　　　　　　　　　　	150049410
人工関節再置換（肩）　　　　　　　　　　	150255910
人工関節置換術（足）　　　　　　　　　　	150050910
四肢切断術（指（手、足））　　　　　　　	
爪甲除去術　　　　　　　　　　　　　　　	
減圧開頭術（キアリ奇形、脊髄空洞症）　　	150335610
脊髄血管腫摘出術　　　　　　　　　　　　	
鼓膜鼓室肉芽切除術　　　　　　　　　　　	
上咽頭腫瘍摘出術（経鼻腔によるもの）　　	
咽頭瘻閉鎖術　　　　　　　　　　　　　　	
頸部郭清術加算（片側）　　　　　　　　　	
頸部郭清術加算（両側）　　　　　　　　　	
口蓋腫瘍摘出術（口蓋骨に及ぶ）　　　　　	150110610
口腔底腫瘍摘出術　　　　　　　　　　　　	
口唇悪性腫瘍手術　　　　　　　　　　　　	
頬腫瘍摘出術（その他）　　　　　　　　　	
下顎骨折観血的手術（両側）　　　　　　　	150274410
顎下腺悪性腫瘍手術　　　　　　　　　　　	
乳腺腫瘍摘出術（長径５未満）（右）　　	
乳腺腫瘍摘出術（長径５以上）（左）　　	
肋骨骨髄炎手術　　　　　　　　　　　　　	150122410
肋骨切除術（第１肋骨）　　　　　　　　　	150123210
胸腔鏡下醸膿胸膜、胸膜胼胝切除術　　　　	150292410
縦隔悪性腫瘍手術（広汎摘出）　　　　　　	150357410
肺切除術（楔状部分切除）　　　　　　　　	150129710
胸腔鏡下良性胸壁腫瘍手術　　　　　　　　	150270850
植込型心電図記録計移植術　　　　　　　　	
植込型除細動器移植術（皮下植込型リード）	150383250
大動脈瘤切除術（上行大動脈）その他　　　	150245010
抗悪性腫瘍剤動脈内持続注入用植込型カテー	
抗悪性腫瘍剤静脈内持続注入用植込型カテー	
リンパ節群郭清術（顎下部又は舌下部浅在性	
大網、腸間膜、後腹膜腫瘍摘出術（腸切除を	150161510
骨盤内臓全摘術　　　　　　　　　　　　　	150245310
内視鏡的胃、十二指腸ポリープ・粘膜切除術	
胆嚢外瘻造設術　　　　　　　　　　　　　	150174110
膵頭部腫瘍切除術（周辺臓器（胃、結腸、腎	150297110
腸吻合術　　　　　　　　　　　　　　　　	150184110
小腸瘻閉鎖術（腸管切除を伴う）　　　　　	150185310
経尿道的尿管瘤切除術　　　　　　　　　　	
膀胱悪性腫瘍手術（切除）　　　　　　　　	150200510
女子外性器腫瘍摘出術　　　　　　　　　　	
女子外性器悪性腫瘍手術（切除）　　　　　	
子宮鏡下子宮内膜焼灼術　　　　　　　　　	
会陰（腟壁）裂創縫合術（分娩時）（腟円蓋	
ＨＩＶ抗体陽性加算　　　　　　　　　　　	
周術期口腔機能管理後手術加算　　　　　　	
麻酔加算（ＭＲＳＡ患者・Ｂ型肝炎患者・Ｃ	
胃瘻造設時嚥下機能評価加算　　　　　　　	150380510
ステントグラフト内挿術（胸部大動脈）　　	
ステントグラフト内挿術（腹部大動脈）　　	
ステントグラフト内挿術（腸骨動脈）　　　	
関節鏡下関節内骨折観血的手術（膝）　　　	
膝関節　　　　　　　　　　　　　　　　　	
肝悪性腫瘍ラジオ波焼灼療法（一連）　　　	
（内視鏡的胆管ステント留置術併施）　　　	
（胆道ステントセット　一般型　一時留置型	
（内視鏡的膵管ステント留置術　併施）　　	
（経皮的カテーテル心筋冷凍焼灼術）　　　	
（内視鏡的経鼻胆管ドレナージ術（ＥＮＢＤ	
（併施：肝悪性腫瘍ラジオ波焼灼療法（一連	
（併施：経皮的冠動脈形成術　不安定狭心症	
（併施：経皮的冠動脈形成術　その他のもの	
（併施：経皮的冠動脈ステント留置術　その	
（腹腔鏡下胃瘻造設術施行）　　　　　　　	
（併施：ステントグラフト内挿術（腹部））	
（併施：四肢の血管拡張術・血栓除去術）　	
内視鏡的胃、十二指腸ポリープ・粘膜切除術	
（併施：胸腔鏡下拡大胸腺摘出術）　　　　	
（併施：ステントグラフト内挿術・腸骨動脈	
（併施：肝悪性腫瘍ラジオ波焼灼療法　２	
（併施：内視鏡的乳頭切開術（乳頭括約筋切	
（経皮的内視鏡下胃瘻造設術施行）　　　　	
内視鏡的消化管止血術　　　　　　　　　　	
（併施：骨部分切除術・その他）　　　　　	
（併施：卵管全摘除術（開腹による）、皮膚	
（併施：内視鏡的胆道ステント留置術）　　	
（内視鏡的胆道結石除去術（その他）併施）	
（併施：虫垂切除術（虫垂周囲膿瘍を伴う）	
（内視鏡的胆道ステント留置術　併施）　　	
内視鏡的胆道結石除去術（その他）２回目以	
（内視鏡的乳頭切開術（乳頭括約筋切開のみ	
